label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	dataset	method	vsearch	mothur
0.03	0.03	2644	0	631707000	3267370	6938070	0	0.9949	0	0.9891	0	0.9841	-0.007477	0	miseq_PDS	de_novo	1.5.0	1.46.1
0.03	0.03	2565	0	633045000	3651160	6829450	0	0.9943	0	0.9893	0	0.9837	-0.007823	0	mouse_KLS	de_novo	1.5.0	1.46.1
0.03	0.03	2644	0	631707000	3267370	6938070	0	0.9949	0	0.9891	0	0.9841	-0.007477	0	miseq_1.0_01	de_novo	1.5.0	1.46.1
